Refseq_protID_human,Refseq_protID_Phha,gene_symbol_Phha,description_Phha,gene_symbol_human,description_human,,
NP_001005465,XP_045679506.1,LOC123808738,olfactory receptor 10G3,OR10G3,olfactory receptor family 10 subfamily G member 3,,
NP_001005466,XP_045679419.1,LOC123808672,olfactory receptor 10G2,OR10G2,olfactory receptor family 10 subfamily G member 2,,
NP_001005469,XP_045714304.1,LOC123831468,olfactory receptor 5B3-like,OR5B3,olfactory receptor family 5 subfamily B member 3,,
NP_001005480,XP_045713524.1,LOC123830944,olfactory receptor 2A2-like,OR2A2,olfactory receptor family 2 subfamily A member 2,,
NP_001005491,XP_045691857.1,LOC123816731,olfactory receptor 10AG1-like,OR10AG1,olfactory receptor family 10 subfamily AG member 1,,
NP_001005492,XP_045714372.1,LOC123831527,olfactory receptor 5J2-like,OR5J2,olfactory receptor family 5 subfamily J member 2,,
NP_001005493,XP_045685333.1,LOC123812600,olfactory receptor 6C6,OR6C6,olfactory receptor family 6 subfamily C member 6,,
NP_001005494,XP_045685637.1,LOC123812805,LOW QUALITY PROTEIN: olfactory receptor 6C4-like,OR6C4,olfactory receptor family 6 subfamily C member 4,,
NP_001005497,XP_045685606.1,LOC123812786,olfactory receptor 6C75-like,OR6C75,olfactory receptor family 6 subfamily C member 75,,
NP_001005499,XP_045685520.1,LOC123812730,olfactory receptor 6C70-like,OR6C70,olfactory receptor family 6 subfamily C member 70,,
NP_001005500,XP_045679043.1,LOC123808440,olfactory receptor 4M1,OR4M1,olfactory receptor family 4 subfamily M member 1,,
NP_001005501,XP_045679051.1,LOC123808446,olfactory receptor 4K2,OR4K2,olfactory receptor family 4 subfamily K member 2,,
NP_001005503,XP_045679290.1,LOC123808576,olfactory receptor 11G2,OR11G2,olfactory receptor family 11 subfamily G member 2,,
NP_001005517,XP_045707977.1,LOC123827511,olfactory receptor 5K4,OR5K4,olfactory receptor family 5 subfamily K member 4,,
NP_001005518,XP_045685332.1,LOC123812598,LOW QUALITY PROTEIN: olfactory receptor 6C65-like,OR6C65,olfactory receptor family 6 subfamily C member 65,,
NP_001005566,XP_045714306.1,LOC123831470,olfactory receptor 5B2-like,OR5B2,olfactory receptor family 5 subfamily B member 2,,
NP_001005738,XP_045703223.1,LOC123824156,N-formyl peptide receptor 2-like,FPR2,formyl peptide receptor 2,,
NP_001005853,XP_045692139.1,LOC123816929,olfactory receptor 6,OR6B2,olfactory receptor family 6 subfamily B member 2,,
NP_001006608,XP_045677905.1,LOC123807891,leucine-rich repeat-containing protein 37A2-like,LRRC37A2,leucine rich repeat containing 37 member A2,,
NP_001006682,XP_045689062.1,LOC123814956,spindlin-2,SPIN2B,spindlin family member 2B,,
NP_001006682,XP_045689074.1,LOC123814964,spindlin-2,SPIN2B,spindlin family member 2B,,
NP_001007190,XP_045677446.1,LOC123807546,LOW QUALITY PROTEIN: IgA-inducing protein homolog,IGIP,IgA inducing protein,,
NP_001007227,XP_045692835.1,LOC123817276,speckle-type POZ protein,SPOP,speckle type BTB/POZ protein,,
NP_001008216,XP_045683034.1,LOC123811119,cytochrome c oxidase assembly factor 5,COA5,cytochrome c oxidase assembly factor 5,,
NP_001008844,XP_045697730.1,LOC123820813,desmoplakin isoform X4,DSP,desmoplakin,,
NP_001009608,XP_045688565.1,LOC123814674,protein SLX4IP isoform X1,SLX4IP,SLX4 interacting protein,,
NP_001010977,XP_045677644.1,LOC123807651,protein-lysine methyltransferase METTL21C-like,METTL21C,methyltransferase 21C, AARS1 lysine,
NP_001010980,XP_045715448.1,LOC123832030,noncompact myelin-associated protein,NCMAP,non-compact myelin associated protein,,
NP_001011543,XP_045676459.1,LOC123807048,melanoma-associated antigen 10-like,MAGEA10,MAGE family member A10,,
NP_001012398,XP_045674387.1,LOC123805726,AKT-interacting protein,AKTIP,AKT interacting protein,,
NP_001012531,XP_045706216.1,LOC123826274,LOW QUALITY PROTEIN: gastrin-releasing peptide,GRP,gastrin releasing peptide,,
NP_001012682,XP_045710762.1,LOC123829284,LOW QUALITY PROTEIN: 4F2 cell-surface antigen heavy chain-like,SLC3A2,solute carrier family 3 member 2,,
NP_001012773,XP_045673592.1,LOC123805159,solute carrier family 25 member 53,SLC25A53,solute carrier family 25 member 53,,
NP_001012982,XP_045712390.1,LOC123830324,kallikrein-6-like,KLK6,kallikrein related peptidase 6,,
NP_001012995,XP_045695405.1,LOC123819123,LOW QUALITY PROTEIN: polyadenylate-binding protein 1-like 2,PABPC1L2A,poly(A) binding protein cytoplasmic 1 like 2A,,
NP_001013375,XP_045714300.1,LOC123831466,olfactory receptor 1044,OR8U9,olfactory receptor family 8 subfamily U member 9,,
NP_001013376,XP_045714270.1,LOC123831435,olfactory receptor 1013-like,OR9G9,olfactory receptor family 9 subfamily G member 9,,
NP_001013650,XP_045708261.1,LOC123827821,DDB1- and CUL4-associated factor 12-like protein 2,DCAF12L2,DDB1 and CUL4 associated factor 12 like 2,,
NP_001013672,XP_045713360.1,LOC123830813,proline-rich protein 23B-like,PRR23B,proline rich 23B,,
NP_001014301,XP_045695844.1,LOC123819515,annexin-2 receptor-like,ANXA2R,annexin A2 receptor,,
NP_001017922,XP_045715686.1,LOC123832177,erythroid membrane-associated protein,ERMAP,erythroblast membrane associated protein (Scianna blood group),,
NP_001017991,XP_045673345.1,LOC123804952,histone H2A-Bbd type 2/3-like,H2AB2,H2A.B variant histone 2,,
NP_001017991,XP_045673346.1,LOC123804953,histone H2A-Bbd type 2/3-like,H2AB2,H2A.B variant histone 2,,
NP_001018059,XP_045702406.1,LOC123823567,glycodelin,PAEP,progestagen associated endometrial protein,,
NP_001018146,XP_045692517.1,LOC123817095,nucleoside diphosphate kinase B,NME1-NME2,NME1-NME2 readthrough,,
NP_001019770,XP_045672580.1,LOC123804381,histone H2B type 2-F,H2BC18,H2B clustered histone 18,,
NP_001020402,XP_045672834.1,LOC123804522,keratinocyte proline-rich protein,KPRP,keratinocyte proline rich protein,,
NP_001025046,XP_045704060.1,LOC123824746,regulator of G-protein signaling 7-binding protein isoform X2,RGS7BP,regulator of G protein signaling 7 binding protein,,
NP_001025056,XP_045715709.1,LOC123832194,ceramide-1-phosphate transfer protein,CPTP,ceramide-1-phosphate transfer protein,,
NP_001026788,XP_045681006.1,LOC123809758,cytochrome c oxidase assembly protein COX19,COX19,cytochrome c oxidase assembly factor COX19,,
NP_001026798,XP_045685402.1,LOC123812666,small cell adhesion glycoprotein,SMAGP,small cell adhesion glycoprotein,,
NP_001026896,XP_045674660.1,LOC123805875,protein C19orf12 homolog,C19orf12,chromosome 19 open reading frame 12,,
NP_001027544,XP_045701329.1,LOC123823056,zinc finger protein 226-like isoform X2,ZNF226,zinc finger protein 226,,
NP_001028218,XP_045692364.1,LOC123817027,cytochrome b-245 chaperone 1,CYBC1,cytochrome b-245 chaperone 1,,
NP_001028252,XP_045698531.1,LOC123821310,trace amine-associated receptor 2,TAAR2,trace amine associated receptor 2,,
NP_001028260,XP_045680804.1,LOC123809632,neugrin-like,NGRN,neugrin, neurite outgrowth associated,
NP_001028676,XP_045692795.1,LOC123817254,transmembrane protein 98,TMEM98,transmembrane protein 98,,
NP_001029249,XP_045706629.1,LOC123826643,uncharacterized protein LOC123826643,H4C15,H4 clustered histone 15,,
NP_001032586,XP_045698506.1,LOC123821297,beta-defensin 110,DEFB110,defensin beta 110,,
NP_001032817,XP_045698790.1,LOC123821456,beta-defensin 110-like,DEFB110,defensin beta 110,,
NP_001032819,XP_045689327.1,LOC123815162,beta-defensin 115-like,DEFB115,defensin beta 115,,
NP_001032893,XP_045677212.1,LOC123807439,beta-defensin 130B-like,DEFB130A,defensin beta 130A,,
NP_001032897,XP_045705173.1,LOC123825632,eukaryotic translation initiation factor 3 subunit C,EIF3C,eukaryotic translation initiation factor 3 subunit C,,
NP_001033793,XP_045692060.1,LOC123816883,uncharacterized protein C17orf47 homolog,SEPTIN4,septin 4,,
NP_001034230,XP_045690753.1,LOC123816066,TRIO and F-actin-binding protein isoform X2,TRIOBP,TRIO and F-actin binding protein,,
NP_001034267,XP_045681714.1,LOC123810191,ATP synthase subunit f%2C mitochondrial-like isoform X2,ATP5MF,ATP synthase membrane subunit f,,
NP_001034485,XP_045711344.1,LOC123829555,macrophage-expressed gene 1 protein-like,MPEG1,macrophage expressed 1,,
NP_001034748,XP_045674104.1,LOC123805518,interleukin-18-binding protein,IL18BP,interleukin 18 binding protein,,
NP_001034750,XP_045716241.1,LOC123832566,toll/interleukin-1 receptor domain-containing adapter protein,TIRAP,TIR domain containing adaptor protein,,
NP_001034974,XP_045701024.1,LOC123822902,fukutin-related protein,FKRP,fukutin related protein,,
NP_001035521,XP_045692856.1,LOC123817285,cytochrome c oxidase assembly factor 3 homolog%2C mitochondrial,COA3,cytochrome c oxidase assembly factor 3,,
NP_001035538,XP_045686638.1,LOC123813620,beta-defensin 43-like,DEFB131A,defensin beta 131A,,
NP_001035754,XP_045708976.1,LOC123828237,suppressor of SWI4 1 homolog isoform X2,PPAN-P2RY11,PPAN-P2RY11 readthrough,,
NP_001035807,XP_045672578.1,LOC123804378,histone H2A type 2-A,H2AC19,H2A clustered histone 19,,
NP_001035807,XP_045672579.1,LOC123804379,LOW QUALITY PROTEIN: histone H2A type 2-A-like,H2AC19,H2A clustered histone 19,,
NP_001035830,XP_045676639.1,LOC123807135,glycerol-3-phosphate phosphatase,PGP,phosphoglycolate phosphatase,,
NP_001035972,XP_045702518.1,LOC123823641,galectin-7-like,LGALS7B,galectin 7B,,
NP_001037729,XP_045696041.1,LOC123819669,prostate-associated microseminoprotein,MSMP,microseminoprotein, prostate associated,
NP_001041675,XP_045672496.1,LOC123804349,chloride channel CLIC-like protein 1,CLCC1,chloride channel CLIC like 1,,
NP_001046,XP_045704931.1,LOC123825516,sulfotransferase 1A1,SULT1A1,sulfotransferase family 1A member 1,,
NP_001054,XP_045712809.1,LOC123830521,serotransferrin-like,TF,transferrin,,
NP_001063,XP_045701601.1,LOC123823186,UDP-glucuronosyltransferase 1-6-like isoform X3,UGT1A6,UDP glucuronosyltransferase family 1 member A6,,
NP_001070,XP_045684140.1,LOC123811734,tyrosine-protein kinase ZAP-70 isoform X1,ZAP70,zeta chain of T cell receptor associated protein kinase 70,,
NP_001070675,XP_045675984.1,LOC123806762,LOW QUALITY PROTEIN: protein transport protein Sec31A-like,SEC31A,SEC31 homolog A, COPII coat complex component,
NP_001070959,XP_045712383.1,LOC123830322,kallikrein-5-like,KLK5,kallikrein related peptidase 5,,
NP_001071132,XP_045683806.1,LOC123811581,up-regulator of cell proliferation-like isoform X2,URGCP,upregulator of cell proliferation,,
NP_001071179,XP_045708629.1,LOC123828087,keratin-associated protein 27-1,KRTAP27-1,keratin associated protein 27-1,,
NP_001073276,XP_045710684.1,LOC123829204,pepsin A,PGA4,pepsinogen A4,,
NP_001073335,XP_045710016.1,LOC123828767,mitochondrial chaperone BCS1,BCS1L,BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone,
NP_001073369,XP_045716660.1,LOC123832844,sperm acrosome-associated protein 5-like,SPACA5B,sperm acrosome associated 5B,,
NP_001073884,XP_045707068.1,LOC123826870,U2 snRNP-associated SURP motif-containing protein isoform X1,U2SURP,U2 snRNP associated SURP domain containing,,
NP_001073905,XP_045702732.1,LOC123823778,Wilms tumor protein 1-interacting protein,WTIP,WT1 interacting protein,,
NP_001073917,XP_045707106.1,LOC123826934,ephrin type-A receptor 6,EPHA6,EPH receptor A6,,
NP_001073923,XP_045705125.1,LOC123825613,acyl-coenzyme A synthetase ACSM4%2C mitochondrial,ACSM4,acyl-CoA synthetase medium chain family member 4,,
NP_001073925,XP_045705514.1,LOC123825910,zinc finger and SCAN domain-containing protein 5B-like,ZSCAN5B,zinc finger and SCAN domain containing 5B,,
NP_001073937,XP_045702543.1,LOC123823651,syncollin-like,SYCN,syncollin,,
NP_001073943,XP_045683238.1,LOC123811308,LOW QUALITY PROTEIN: uncharacterized protein C2orf78-like,C2orf78,chromosome 2 open reading frame 78,,
NP_001073976,XP_045698843.1,LOC123821498,oocyte-expressed protein homolog,OOEP,oocyte expressed protein,,
NP_001073995,XP_045705476.1,LOC123825852,fatty acid-binding protein 9-like,FABP9,fatty acid binding protein 9,,
NP_001074299,XP_045714714.1,LOC123831673,PRAME family member 12-like,PRAMEF12,PRAME family member 12,,
NP_001075020,XP_045677679.1,LOC123807681,beta-defensin 103A-like,DEFB103A,defensin beta 103A,,
NP_001077,XP_045707350.1,LOC123827087,arylacetamide deacetylase-like,AADAC,arylacetamide deacetylase,,
NP_001077430,XP_045702505.1,LOC123823631,LOW QUALITY PROTEIN: WD repeat-containing protein 62-like,WDR62,WD repeat domain 62,,
NP_001078841,XP_045711139.1,LOC123829451,ubiquinol-cytochrome-c reductase complex assembly factor 3,UQCC3,ubiquinol-cytochrome c reductase complex assembly factor 3,,
NP_001078853,XP_045705871.1,LOC123826080,LOW QUALITY PROTEIN: zinc finger protein 154-like,ZNF154,zinc finger protein 154,,
NP_001078924,XP_045708352.1,LOC123827955,keratin-associated protein 24-1,KRTAP24-1,keratin associated protein 24-1,,
NP_001078955,XP_045703824.1,LOC123824613,selenoprotein P,SELENOP,selenoprotein P,,
NP_001087239,XP_045698258.1,LOC123821029,pulmonary surfactant-associated protein A-like isoform X2,SFTPA1,surfactant protein A1,,
NP_001091079,XP_045688294.1,LOC123814491,secretoglobin family 1C member 2-like,SCGB1C2,secretoglobin family 1C member 2,,
NP_001091884,XP_045713340.1,LOC123830804,zinc finger protein 621-like isoform X1,ZNF621,zinc finger protein 621,,
NP_001091976,XP_045694200.1,LOC123818243,carcinoembryonic antigen-related cell adhesion molecule 21-like isoform X2,CEACAM21,CEA cell adhesion molecule 21,,
NP_001091985,XP_045710674.1,LOC123829195,mas-related G-protein coupled receptor member F,MRGPRF,MAS related GPR family member F,,
NP_001092305,XP_045711306.1,LOC123829529,membrane-spanning 4-domains subfamily A member 15,MS4A15,membrane spanning 4-domains A15,,
NP_001092805,XP_045709595.1,LOC123828592,phytanoyl-CoA hydroxylase-interacting protein,PHYHIP,phytanoyl-CoA 2-hydroxylase interacting protein,,
NP_001093156,XP_045673427.1,LOC123805043,LOW QUALITY PROTEIN: nuclear RNA export factor 2-like,NXF2B,nuclear RNA export factor 2B,,
NP_001093391,XP_045716377.1,LOC123832674,LOW QUALITY PROTEIN: melanoma-associated antigen B16-like,MAGEB16,MAGE family member B16,,
NP_001093391,XP_045716376.1,LOC123832673,melanoma-associated antigen B16-like,MAGEB16,MAGE family member B16,,
NP_001093391,XP_045716378.1,LOC123832675,melanoma-associated antigen B16-like,MAGEB16,MAGE family member B16,,
NP_001093582,XP_045680129.1,LOC123809220,myosin-2,MYH2,myosin heavy chain 2,,
NP_001096640,XP_045715958.1,LOC123832319,arylacetamide deacetylase-like 3,AADACL3,arylacetamide deacetylase like 3,,
NP_001098057,XP_045692712.1,LOC123817205,uncharacterized protein LOC123817205,SLFN11,schlafen family member 11,,
NP_001104789,XP_045677713.1,LOC123807700,claudin-22-like,CLDN22,claudin 22,,
NP_001107227,XP_045690707.1,LOC123816030,LOW QUALITY PROTEIN: thymidine phosphorylase,TYMP,thymidine phosphorylase,,
NP_001107868,XP_045695730.1,LOC123819423,natural killer cells antigen CD94-like,KLRD1,killer cell lectin like receptor D1,,
NP_001116080,XP_045711900.1,LOC123830009,holocytochrome c-type synthase,HCCS,holocytochrome c synthase,,
NP_001116437,XP_045672905.1,LOC123804590,trichohyalin-like,RPTN,repetin,,
NP_001116859,XP_045693083.1,LOC123817434,keratin-associated protein 2-3-like,KRTAP2-1,keratin associated protein 2-1,,
NP_001116859,XP_045693084.1,LOC123817435,keratin-associated protein 2-3-like,KRTAP2-1,keratin associated protein 2-1,,
NP_001119574,XP_045675117.1,LOC123806148,haptoglobin-like,HP,haptoglobin,,
NP_001120668,XP_045706148.1,LOC123826213,CCHC-type zinc finger nucleic acid binding protein isoform X6,CNBP,CCHC-type zinc finger nucleic acid binding protein,,
NP_001120691,XP_045681683.1,LOC123810175,1-aminocyclopropane-1-carboxylate synthase-like protein 1,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),,
NP_001121675,XP_045710925.1,LOC123829356,phospholipase A and acyltransferase 3,PLAAT3,phospholipase A and acyltransferase 3,,
NP_001122100,XP_045679153.1,LOC123808510,serine/threonine-protein kinase PAK 6,BUB1B-PAK6,BUB1B-PAK6 readthrough,,
NP_001122105,XP_045675799.1,LOC123806613,RIMS-binding protein 3B-like,RIMBP3C,RIMS binding protein 3C,,
NP_001123292,XP_045693072.1,LOC123817425,protein SLFN14-like,SLFN14,schlafen family member 14,,
NP_001123355,XP_045716156.1,LOC123832532,prostate and testis expressed protein 3-like,PATE3,prostate and testis expressed 3,,
NP_001123552,XP_045679196.1,LOC123808533,interferon alpha-inducible protein 27-like protein 2,IFI27,interferon alpha inducible protein 27,,
NP_001124149,XP_045692653.1,LOC123817158,elongin BC and Polycomb repressive complex 2-associated protein,EPOP,elongin BC and polycomb repressive complex 2 associated protein,,
NP_001124183,XP_045695647.1,LOC123819361,uncharacterized protein LOC123819361,CLEC2A,C-type lectin domain family 2 member A,,
NP_001124397,XP_045705488.1,LOC123825846,syncytin-1-like,ERVW-1,endogenous retrovirus group W member 1, envelope,
NP_001125,XP_045714070.1,LOC123831286,alpha-fetoprotein,AFP,alpha fetoprotein,,
NP_001129,XP_045675162.1,LOC123806171,agouti-related protein,AGRP,agouti related neuropeptide,,
NP_001130043,XP_045700910.1,LOC123822788,ZAR1-like protein,ZAR1L,zygote arrest 1 like,,
NP_001135389,XP_045695954.1,LOC123819590,LOW QUALITY PROTEIN: protein FAM205A-like,SPATA31F1,SPATA31 subfamily F member 1,,
NP_001135947,XP_045694094.1,LOC123818164,neuronal regeneration-related protein,NREP,neuronal regeneration related protein,,
NP_001137324,XP_045700964.1,LOC123822837,trichoplein keratin filament-binding protein,TCHP,trichoplein keratin filament binding,,
NP_001137447,XP_045673780.1,LOC123805360,upstream-binding factor 1-like protein 1,UBTFL1,upstream binding transcription factor like 1,,
NP_001138363,XP_045704518.1,LOC123825216,MAP3K12-binding inhibitory protein 1 isoform X2,MBIP,MAP3K12 binding inhibitory protein 1,,
NP_001138371,XP_045706508.1,LOC123826568,CD209 antigen-like protein 2 isoform X1,CD209,CD209 molecule,,
NP_001138416,XP_045706207.1,LOC123826263,myosin regulatory light chain 12B,MYL12B,myosin light chain 12B,,
NP_001138498,XP_045700973.1,LOC123822844,phosphatidylinositol phosphatase PTPRQ,PTPRQ,protein tyrosine phosphatase receptor type Q,,
NP_001138590,XP_045676921.1,LOC123807279,delphilin isoform X1,GRID2IP,Grid2 interacting protein,,
NP_001138615,XP_045707832.1,LOC123827340,LOW QUALITY PROTEIN: 5-hydroxytryptamine receptor 3D-like,HTR3D,5-hydroxytryptamine receptor 3D,,
NP_001138724,XP_045716359.1,LOC123832644,properdin,CFP,complement factor properdin,,
NP_001138780,XP_045673858.1,LOC123805400,transmembrane O-methyltransferase homolog isoform X1,LRTOMT,leucine rich transmembrane and O-methyltransferase domain containing,,
NP_001138929,XP_045686347.1,LOC123813399,natural cytotoxicity triggering receptor 1-like isoform X2,NCR1,natural cytotoxicity triggering receptor 1,,
NP_001139182,XP_045700660.1,LOC123822603,protein FAM228B-like,FAM228B,family with sequence similarity 228 member B,,
NP_001139654,XP_045693575.1,LOC123817769,keratin-associated protein 16-1,KRTAP16-1,keratin associated protein 16-1,,
NP_001141,XP_045680750.1,LOC123809610,aminopeptidase N,ANPEP,alanyl aminopeptidase, membrane,
NP_001153148,XP_045698576.1,LOC123821328,heterogeneous nuclear ribonucleoprotein Q isoform X3,SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein,,
NP_001153350,XP_045684846.1,LOC123812180,zona pellucida-binding protein 1,ZPBP,zona pellucida binding protein,,
NP_001154924,XP_045710787.1,LOC123829294,lysosomal membrane ascorbate-dependent ferrireductase CYB561A3,CYB561A3,cytochrome b561 family member A3,,
NP_001156752,XP_045705405.1,LOC123825809,LOW QUALITY PROTEIN: HIV Tat-specific factor 1-like,HTATSF1,HIV-1 Tat specific factor 1,,
NP_001157940,XP_045693860.1,LOC123818033,TIR domain-containing adapter molecule 2 isoform X2,TMED7-TICAM2,TMED7-TICAM2 readthrough,,
NP_001158,XP_045708138.1,LOC123827723,E3 ubiquitin-protein ligase XIAP,XIAP,X-linked inhibitor of apoptosis,,
NP_001158283,XP_045689234.1,LOC123815092,protein PET117 homolog%2C mitochondrial,PET117,PET117 cytochrome c oxidase chaperone,,
NP_001158730,XP_045697659.1,LOC123820767,transmembrane protein 14C,TMEM14C,transmembrane protein 14C,,
NP_001158886,XP_045681204.1,LOC123809975,L-lactate dehydrogenase A chain,LDHA,lactate dehydrogenase A,,
NP_001159435,XP_045708232.1,LOC123827779,LOW QUALITY PROTEIN: sodium channel protein type 1 subunit alpha-like,SCN1A,sodium voltage-gated channel alpha subunit 1,,
NP_001161292,XP_045688889.1,LOC123814844,bladder cancer-associated protein,BLCAP,BLCAP apoptosis inducing factor,,
NP_001161403,XP_045707759.1,LOC123827290,interleukin-1 receptor accessory protein isoform X2,IL1RAP,interleukin 1 receptor accessory protein,,
NP_001161770,XP_045711525.1,LOC123829677,C-X-C chemokine receptor type 2-like,CXCR2,C-X-C motif chemokine receptor 2,,
NP_001162580,XP_045690852.1,LOC123816130,protein SCO2 homolog%2C mitochondrial,SCO2,synthesis of cytochrome C oxidase 2,,
NP_001164006,XP_045715648.1,LOC123832153,ATPase family AAA domain-containing protein 3,ATAD3A,ATPase family AAA domain containing 3A,,
NP_001165378,XP_045676499.1,LOC123807065,protein EOLA1,EOLA1,endothelium and lymphocyte associated ASCH domain 1,,
NP_001165378,XP_045676493.1,LOC123807061,LOW QUALITY PROTEIN: protein EOLA1-like,EOLA1,endothelium and lymphocyte associated ASCH domain 1,,
NP_001165556,XP_045698890.1,LOC123821521,TATA-box-binding protein,TBP,TATA-box binding protein,,
NP_001166122,XP_045709481.1,LOC123828492,zinc finger protein 177-like isoform X1,ZNF177,zinc finger protein 177,,
NP_001166150,XP_045704775.1,LOC123825447,zinc finger protein 764-like,ZNF764,zinc finger protein 764,,
NP_001166244,XP_045705227.1,LOC123825667,zinc finger protein 548-like isoform X1,ZNF548,zinc finger protein 548,,
NP_001166302,XP_045680004.1,LOC123809169,zinc finger protein 300-like isoform X1,ZNF300,zinc finger protein 300,,
NP_001171646,XP_045707818.1,LOC123827325,protein mono-ADP-ribosyltransferase TIPARP,TIPARP,TCDD inducible poly(ADP-ribose) polymerase,,
NP_001171742,XP_045694179.1,LOC123818236,carcinoembryonic antigen-related cell adhesion molecule 1-like isoform X1,CEACAM1,CEA cell adhesion molecule 1,,
NP_001172078,XP_045677728.1,LOC123807711,putative claudin-24,CLDN24,claudin 24,,
NP_001176,XP_045675515.1,LOC123806428,zinc-alpha-2-glycoprotein-like,AZGP1,alpha-2-glycoprotein 1, zinc-binding,
NP_001177694,XP_045695674.1,LOC123819387,killer cell lectin-like receptor subfamily F member 2,KLRF2,killer cell lectin like receptor F2,,
NP_001177885,XP_045677669.1,LOC123807668,disintegrin and metalloproteinase domain-containing protein 18-like,ADAM18,ADAM metallopeptidase domain 18,,
NP_001180218,XP_045690772.1,LOC123816081,DNA dC->dU-editing enzyme APOBEC-3A-like,APOBEC3A_B,APOBEC3A and APOBEC3B deletion hybrid,,
NP_001180550,XP_045701297.1,LOC123823037,phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein,PINLYP,phospholipase A2 inhibitor and LY6/PLAUR domain containing,,
NP_001182310,XP_045701545.1,LOC123823170,G-protein coupled receptor 35-like isoform X3,GPR35,G protein-coupled receptor 35,,
NP_001185741,XP_045696589.1,LOC123819986,tomoregulin-1 isoform X3,MSANTD3-TMEFF1,MSANTD3-TMEFF1 readthrough,,
NP_001185808,XP_045694109.1,LOC123818167,pentatricopeptide repeat-containing protein 1%2C mitochondrial-like isoform X1,ATP5MF-PTCD1,ATP5MF-PTCD1 readthrough,,
NP_001185883,XP_045684489.1,LOC123811973,charged multivesicular body protein 3 isoform X4,RNF103-CHMP3,RNF103-CHMP3 readthrough,,
NP_001185915,XP_045689332.1,LOC123815166,eppin-like isoform X1,EPPIN-WFDC6,EPPIN-WFDC6 readthrough,,
NP_001186506,XP_045693727.1,LOC123817955,uncharacterized protein LOC123817955,GIMAP1-GIMAP5,GIMAP1-GIMAP5 readthrough,,
NP_001186582,XP_045672708.1,LOC123804453,polyamine-modulated factor 1-like isoform X2,PMF1,polyamine modulated factor 1,,
NP_001186608,XP_045672423.1,LOC123804322,TLC domain-containing protein 4-like,TLCD4,TLC domain containing 4,,
NP_001186673,XP_045681580.1,LOC123810144,serum amyloid A protein-like isoform X1,SAA2-SAA4,SAA2-SAA4 readthrough,,
NP_001189368,XP_045681230.1,LOC123809990,natural cytotoxicity triggering receptor 3 ligand 1-like,NCR3LG1,natural killer cell cytotoxicity receptor 3 ligand 1,,
NP_001191017,XP_045715820.1,LOC123832245,neuroblastoma suppressor of tumorigenicity 1,MICOS10-NBL1,MICOS10-NBL1 readthrough,,
NP_001191231,XP_045706746.1,LOC123826747,amyloid-beta precursor protein isoform X4,APP,amyloid beta precursor protein,,
NP_001191335,XP_045700802.1,LOC123822738,arachidonate 5-lipoxygenase-activating protein,ALOX5AP,arachidonate 5-lipoxygenase activating protein,,
NP_001193560,XP_045673806.1,LOC123805369,LOW QUALITY PROTEIN: tripartite motif-containing protein 64C-like,TRIM64C,tripartite motif containing 64C,,
NP_001193560,XP_045673784.1,LOC123805363,tripartite motif-containing protein 64C-like,TRIM64C,tripartite motif containing 64C,,
NP_001193570,XP_045716390.1,LOC123832686,cytochrome c oxidase assembly factor 6 homolog,COA6,cytochrome c oxidase assembly factor 6,,
NP_001193668,XP_045691451.1,LOC123816498,centromere protein R isoform X1,ITGB3BP,integrin subunit beta 3 binding protein,,
NP_001203,XP_045680138.1,LOC123809228,complement component 1 Q subcomponent-binding protein%2C mitochondrial,C1QBP,complement C1q binding protein,,
NP_001216,XP_045696362.1,LOC123819792,caspase-13-like,CASP4,caspase 4,,
NP_001230890,XP_045690609.1,LOC123815923,LOW QUALITY PROTEIN: HLA class II histocompatibility antigen%2C DQ beta 1 chain-like,HLA-DQB1,major histocompatibility complex, class II, DQ beta 1
NP_001230944,XP_045682497.1,LOC123810652,PILR alpha-associated neural protein,PIANP,PILR alpha associated neural protein,,
NP_001231785,XP_045686109.1,LOC123813107,LOW QUALITY PROTEIN: C-type lectin domain family 4 member G-like,CLEC4G,C-type lectin domain family 4 member G,,
NP_001243070,XP_045716674.1,LOC123832882,fibrinogen silencer-binding protein,FSBP,fibrinogen silencer binding protein,,
NP_001243285,XP_045707208.1,LOC123827015,ubiquitin-conjugating enzyme E2 L3-like isoform X2,UBE2L3,ubiquitin conjugating enzyme E2 L3,,
NP_001243307,XP_045710267.1,LOC123828871,mini-chromosome maintenance complex-binding protein isoform X2,MCMBP,minichromosome maintenance complex binding protein,,
NP_001243784,XP_045677217.1,LOC123807443,LOW QUALITY PROTEIN: ubiquitin carboxyl-terminal hydrolase 17-like protein 6,USP17L13,ubiquitin specific peptidase 17 like family member 13,,
NP_001243792,XP_045677218.1,LOC123807444,LOW QUALITY PROTEIN: ubiquitin carboxyl-terminal hydrolase 17-like protein 6,USP17L22,ubiquitin specific peptidase 17 like family member 22,,
NP_001244062,XP_045685962.1,LOC123813019,cytochrome c oxidase assembly protein COX14,COX14,cytochrome c oxidase assembly factor COX14,,
NP_001257460,XP_045699397.1,LOC123821736,pre-mRNA-splicing regulator WTAP isoform X1,WTAP,WT1 associated protein,,
